"city","station_name","station_id","year","month","day","mean_temp","lat","lon"
"Ottawa","OTTAWA CDA",4333,1949,7,1,25,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1950,7,1,17.2,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1951,7,1,17,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1952,7,1,17.5,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1953,7,1,21.9,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1954,7,1,20.6,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1955,7,1,24.5,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1956,7,1,21.1,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1957,7,1,16.2,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1958,7,1,22.8,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1959,7,1,18.1,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1960,7,1,17.2,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1961,7,1,17.5,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1962,7,1,18.6,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1963,7,1,28.1,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1964,7,1,25,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1965,7,1,17.8,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1966,7,1,21.4,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1967,7,1,22.3,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1968,7,1,25.3,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1969,7,1,17.2,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1970,7,1,17,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1971,7,1,24.2,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1972,7,1,22,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1973,7,1,21.1,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1974,7,1,19.5,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1975,7,1,21.7,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1976,7,1,20.6,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1977,7,1,22.5,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1978,7,1,17.5,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1979,7,1,20.5,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1980,7,1,19,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1981,7,1,18,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1982,7,1,14.3,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1983,7,1,23.3,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1984,7,1,21.2,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1985,7,1,19.9,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1986,7,1,17.1,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1987,7,1,18.6,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1988,7,1,15.7,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1989,7,1,21.3,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1990,7,1,19.8,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1991,7,1,18.1,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1992,7,1,16.6,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1993,7,1,19,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1994,7,1,20.6,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1995,7,1,24.2,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1996,7,1,23.4,45.38,-75.72
"Ottawa","OTTAWA CDA",4333,1997,7,1,24.2,45.38,-75.72
